track_id,track_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3xfeeYbPZG82KPttgF7iGC,Flamingo,0.811,0.556,-7.399,0.0741,0.291,0.898,0.11,0.745,109.976
4Hfab9JSboztQUlw1oSmGB,Sotta Sotta m,0.751,0.414,-11.214,0.0406,0.145,0.000123,0.0841,0.401,94.991
7GjQssVu8uKn4WGTIgTOIA,Hot in It,0.748,0.841,-5.08,0.177,0.00445,1.33e-06,0.0413,0.717,123.045
2yUVCrzeOEChacYpE0MUAP,Alive Again - Live In Manila,0.561,0.925,-5.77,0.0566,0.000184,0.0119,0.606,0.614,126.019
49TMDqI2mJ8qtLuYMeFrua,I'm Satisfied With You,0.779,0.324,-12.326,0.0517,0.892,0.0,0.082,0.963,107.639
36xBFaVGjqm7le8CTHytUj,Parasite Eve,0.589,0.797,-5.464,0.15,0.0289,4.35e-06,0.383,0.232,102.489
36XWUlUGrfZ8da2fLbnNqj,Ruhum Bela,0.638,0.893,-4.857,0.076,0.0398,0.0,0.0801,0.567,127.947
2VaAx84O5vvWwI9QTeuq49,Nada,0.47,0.591,-6.042,0.0809,0.788,1.26e-05,0.21,0.651,81.005
1Vy8dfWHzytLuWDYqnQd4L,Mamisi kołysanka,0.61,0.151,-14.883,0.115,0.863,0.0,0.104,0.666,169.463
2GDWnzRp5wsBXMBtR25dzv,Sira E Hou,0.745,0.549,-5.137,0.203,0.337,0.0,0.152,0.788,77.892
4TuolvR6umOx58y53a9Vak,Ich mag kein Alkohol,0.406,0.966,-3.515,0.0768,0.00113,0.0,0.0714,0.497,171.966
5FXMRdJjKq1BIX4e8Eg9mK,Ajab Si,0.697,0.438,-8.411,0.0289,0.397,0.0,0.293,0.58,117.954
